Algorithm,Time,Steps,Path Length
BFS,0.024432659149169922,2738,32
A*,0.03891921043395996,2620,32
Simulated Annealing,0.023637056350708008,1000,32
Backtracking,1.6689300537109375e-06,7092,36
Backtracking,1.6689300537109375e-06,7092,36
