Algorithm,Time,Steps,Path Length
BFS,0.016251087188720703,1799,23
A*,0.0177309513092041,1144,23
Simulated Annealing,0.018349170684814453,1000,23
Backtracking,1.9073486328125e-06,4052,53
Partial Observation + A*,5.578765630722046,213445,-1
Backtracking,1.9073486328125e-06,4052,53
