Algorithm,Time,Steps,Path Length
BFS,0.0022592544555664062,283,13
A*,0.0025365352630615234,192,13
Simulated Annealing,0.011063575744628906,1000,13
Backtracking,1.9073486328125e-06,660,17
Partial Observation + A*,0.016997098922729492,1214,-1
Backtracking,1.6689300537109375e-06,660,17
Partial Observation + A*,0.017721176147460938,1214,-1
