Algorithm,Time,Steps,Path Length
BFS,0.2154247760772705,17728,57
A*,0.3384840488433838,16831,57
Simulated Annealing,0.04434704780578613,1000,57
Backtracking,1.9073486328125e-06,37827,159
Backtracking,1.9073486328125e-06,37827,159
