Algorithm,Time,Steps,Path Length
BFS,6.461143493652344e-05,7,4
A*,8.463859558105469e-05,6,4
Simulated Annealing,0.0050318241119384766,1000,4
Backtracking,2.6226043701171875e-06,13,4
Backtracking,2.1457672119140625e-06,13,4
