Algorithm,Time,Steps,Path Length
BFS,0.0005095005035400391,24,6
A*,0.0001785755157470703,7,6
Simulated Annealing,0.015986919403076172,1000,6
Partial Observation + A*,0.0001938343048095703,7,6
Backtracking,2.1457672119140625e-06,57,6
