Algorithm,Time,Steps,Path Length
BFS,0.006318092346191406,748,34
A*,0.009186983108520508,738,34
Simulated Annealing,0.024121522903442383,1000,34
Backtracking,1.6689300537109375e-06,1219,46
Partial Observation + A*,0.39049339294433594,14519,-1
Backtracking,2.6226043701171875e-06,1219,46
