Algorithm,Time,Steps,Path Length
BFS,0.03288841247558594,3587,45
A*,0.05244731903076172,3517,45
Simulated Annealing,0.03354907035827637,1000,45
Backtracking,2.1457672119140625e-06,8288,145
Partial Observation + A*,14.198770523071289,414785,45
BFS,0.03402853012084961,3587,45
Partial Observation + A*,14.031570672988892,414785,45
